problem,instance_id,population_size,generations,pool_variant,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
knapsack,n30_weakly,50,50,full,30,8064.0,8065.8,66.04930237956783,7942.0,8194.0
knapsack,n30_weakly,50,50,reduced,30,8001.5,8012.8,69.40704525503504,7891.0,8148.0
knapsack,n30_strongly,20,20,full,30,8751.5,8756.933333333332,101.43111585883206,8554.0,8953.0
knapsack,n30_strongly,20,20,reduced,30,8757.0,8775.733333333334,101.22931745617808,8633.0,8974.0
knapsack,n30_strongly,20,30,full,30,8779.0,8795.066666666668,101.91339573326489,8645.0,8956.0
knapsack,n30_strongly,20,30,reduced,30,8814.5,8811.666666666666,110.42249062931705,8641.0,9059.0
knapsack,n30_strongly,20,50,full,30,8853.0,8865.933333333332,91.63493285609057,8658.0,9040.0
knapsack,n30_strongly,20,50,reduced,30,8849.0,8834.766666666666,107.82159061291411,8641.0,9059.0
knapsack,n30_strongly,50,20,full,30,8856.5,8887.633333333333,70.35892381865672,8758.0,9055.0
knapsack,n30_strongly,50,20,reduced,30,8911.0,8900.866666666667,80.12952158777098,8683.0,9059.0
knapsack,n30_strongly,50,30,full,30,8950.5,8942.033333333333,66.0295040288722,8840.0,9059.0
knapsack,n30_strongly,50,30,reduced,30,8943.5,8919.266666666666,77.39639719554506,8738.0,9059.0
knapsack,n30_strongly,50,50,full,30,9044.0,9001.066666666668,74.95006766960361,8855.0,9059.0
knapsack,n30_strongly,50,50,reduced,30,8947.5,8940.533333333333,66.00717481029454,8844.0,9059.0
knapsack,n50_uncorrelated,20,20,full,30,16940.5,17001.0,581.6074040225013,16167.0,18144.0
knapsack,n50_uncorrelated,20,20,reduced,30,16754.0,16716.933333333334,789.4162807846162,15248.0,18367.0
knapsack,n50_uncorrelated,20,30,full,30,17827.5,17795.4,375.2037239724023,16917.0,18416.0
knapsack,n50_uncorrelated,20,30,reduced,30,17161.0,17180.766666666666,828.286252506918,15752.0,18772.0
knapsack,n50_uncorrelated,20,50,full,30,18275.5,18279.833333333332,257.24482948905035,17586.0,18775.0
knapsack,n50_uncorrelated,20,50,reduced,30,17761.5,17794.166666666668,595.6315734280444,16658.0,18772.0
knapsack,n50_uncorrelated,50,20,full,30,18045.0,17989.066666666666,389.66811106582634,16948.0,18778.0
knapsack,n50_uncorrelated,50,20,reduced,30,17878.5,17884.6,411.87942661532094,16883.0,18627.0
knapsack,n50_uncorrelated,50,30,full,30,18486.0,18483.266666666666,216.69586717465265,18079.0,18967.0
knapsack,n50_uncorrelated,50,30,reduced,30,18322.0,18267.166666666668,290.17130295305094,17583.0,18732.0
knapsack,n50_uncorrelated,50,50,full,30,18807.0,18803.466666666667,123.11831521032882,18539.0,18988.0
knapsack,n50_uncorrelated,50,50,reduced,30,18591.0,18566.9,202.99623743752767,18051.0,18905.0
knapsack,n50_weakly,20,20,full,30,10918.5,10944.866666666667,122.79046726262878,10678.0,11234.0
knapsack,n50_weakly,20,20,reduced,30,10698.5,10744.2,152.56686493423817,10392.0,11076.0
knapsack,n50_weakly,20,30,full,30,11038.0,11026.233333333334,109.78966829518987,10844.0,11234.0
knapsack,n50_weakly,20,30,reduced,30,10796.0,10799.033333333333,168.5413043273601,10392.0,11076.0
knapsack,n50_weakly,20,50,full,30,11085.0,11098.5,84.80067907990946,10969.0,11280.0
knapsack,n50_weakly,20,50,reduced,30,10880.0,10884.5,138.9603639841976,10678.0,11185.0
knapsack,n50_weakly,50,20,full,30,11057.0,11033.7,88.2907227523817,10824.0,11226.0
knapsack,n50_weakly,50,20,reduced,30,10921.0,10923.7,116.69948142779916,10683.0,11153.0
knapsack,n50_weakly,50,30,full,30,11139.5,11133.2,83.50238485134463,10991.0,11292.0
knapsack,n50_weakly,50,30,reduced,30,11009.0,11004.233333333334,110.71575389672213,10754.0,11208.0
knapsack,n50_weakly,50,50,full,30,11237.0,11224.233333333334,80.25935688638485,11071.0,11414.0
knapsack,n50_weakly,50,50,reduced,30,11120.0,11085.1,102.34672307474203,10889.0,11268.0
knapsack,n50_strongly,20,20,full,30,15916.5,15915.233333333334,159.01391900327974,15635.0,16174.0
knapsack,n50_strongly,20,20,reduced,30,15936.5,15919.033333333333,167.44417151609858,15514.0,16295.0
knapsack,n50_strongly,20,30,full,30,15992.0,15976.7,151.52515439290303,15635.0,16223.0
knapsack,n50_strongly,20,30,reduced,30,15949.0,15962.866666666667,170.51761630771284,15586.0,16295.0
knapsack,n50_strongly,20,50,full,30,16055.0,16084.933333333332,117.45723604295554,15838.0,16333.0
knapsack,n50_strongly,20,50,reduced,30,16034.5,16049.9,133.12331591941103,15828.0,16330.0
knapsack,n50_strongly,50,20,full,30,16038.0,16067.033333333333,117.26641737376546,15918.0,16277.0
knapsack,n50_strongly,50,20,reduced,30,16080.5,16067.933333333332,123.60056169198711,15835.0,16338.0
knapsack,n50_strongly,50,30,full,30,16138.0,16147.133333333333,109.37841094845544,15935.0,16411.0
knapsack,n50_strongly,50,30,reduced,30,16135.0,16126.866666666667,120.34683593489373,15895.0,16350.0
knapsack,n50_strongly,50,50,full,30,16315.0,16295.033333333333,91.96681685422656,16041.0,16437.0
knapsack,n50_strongly,50,50,reduced,30,16139.0,16170.233333333334,123.31643717753494,15930.0,16405.0
continuous,sphere_d5,20,20,full,30,-0.0511291579640989,-0.10479506814628299,0.12206231323701992,-0.5583465469215518,-0.00413533902508847
continuous,sphere_d5,20,20,reduced,30,-0.6357718127385921,-0.6138156704872488,0.24849075232979814,-1.1047560695106342,-0.18930719545256616
continuous,sphere_d5,20,30,full,30,-0.009526598098121123,-0.014997541356142874,0.013659241772964485,-0.058982956624964535,-0.0004006402566720539
continuous,sphere_d5,20,30,reduced,30,-0.4131718326138433,-0.43276451180994163,0.20794423804198087,-1.0443019519179115,-0.10916967131368295
continuous,sphere_d5,20,50,full,30,-0.002367834773905015,-0.003485035315144042,0.004218361951165206,-0.01994425322128963,-6.994933401318676e-05
continuous,sphere_d5,20,50,reduced,30,-0.2758408564629812,-0.31394241888947216,0.16167620188876317,-0.6426369457744682,-0.0842482287949338
continuous,sphere_d5,50,20,full,30,-0.004358780172528432,-0.008753548118253287,0.01109711429223316,-0.04768070900766348,-0.0007739986605562656
continuous,sphere_d5,50,20,reduced,30,-0.3738118464527734,-0.3696376781536724,0.17307670721938315,-0.694709611890259,-0.07269831853931061
continuous,sphere_d5,50,30,full,30,-0.0008270226227668793,-0.002186355839780523,0.0030761730642508813,-0.014328856704325724,-0.00036340168273671483
continuous,sphere_d5,50,30,reduced,30,-0.3009522453620954,-0.2761262040441663,0.13451260327440467,-0.5739418005941437,-0.052900296486424254
continuous,sphere_d5,50,50,full,30,-0.0003789279085401777,-0.0008762170100467535,0.0011480042958248178,-0.004469126502834588,-1.7044865783512423e-05
continuous,sphere_d5,50,50,reduced,30,-0.1663309242519382,-0.17490770223271118,0.10388897824632348,-0.40171739361291564,-0.027011182322838806
continuous,sphere_d10,20,20,full,30,-1.318933950391707,-1.6980293973434253,1.2042705972602552,-5.800229673576059,-0.3583096432153646
continuous,sphere_d10,20,20,reduced,30,-5.596788004920512,-5.45015256130643,1.755546501660321,-9.915254957656511,-1.2325787900667693
continuous,sphere_d10,20,30,full,30,-0.6180450250001466,-0.8026883362191092,0.7115103689891898,-3.4843767997754957,-0.11905291624879205
continuous,sphere_d10,20,30,reduced,30,-3.975971289588805,-3.8595430759872964,1.351054553690346,-7.0719296059795465,-1.032066182401381
continuous,sphere_d10,20,50,full,30,-0.0979866346055227,-0.14598282961032186,0.1341979589908506,-0.5219580629951562,-0.014592564507257915
continuous,sphere_d10,20,50,reduced,30,-2.9452594302196937,-3.03250620527845,1.068621296138539,-5.884896178818531,-0.8873304917835961
continuous,sphere_d10,50,20,full,30,-0.1334151402617561,-0.18516446683718538,0.1250171148947197,-0.4880594244664456,-0.01586745590627378
continuous,sphere_d10,50,20,reduced,30,-3.977888685473988,-4.184806869115053,1.6921666297124403,-8.524919892872902,-1.4249395663373532
continuous,sphere_d10,50,30,full,30,-0.0665546379641811,-0.07823694693774505,0.04982792864955222,-0.21193533685927257,-0.007382676767641936
continuous,sphere_d10,50,30,reduced,30,-2.643187837379429,-2.8463974605824185,0.9613234346432712,-5.357700626446561,-1.2602918504079792
continuous,sphere_d10,50,50,full,30,-0.02011703211660136,-0.023502786539302326,0.017453631239014757,-0.07165075843548854,-0.0018707386446880593
continuous,sphere_d10,50,50,reduced,30,-2.2218837753792178,-2.2364402396561784,0.6428587287139508,-3.3068360986933074,-1.2143599805371197
continuous,rastrigin_d5,20,20,full,30,-8.000688927323825,-9.148597784223078,4.980791452114381,-20.302443962692017,-2.1861369980754333
continuous,rastrigin_d5,20,20,reduced,30,-17.985713143535982,-18.72385070822292,6.655864458363967,-33.09318909226123,-7.839633416864274
continuous,rastrigin_d5,20,30,full,30,-6.417386398414731,-7.399736916328152,4.581369697699361,-19.181155209818897,-1.0526294242134355
continuous,rastrigin_d5,20,30,reduced,30,-14.993945706232807,-15.923927923924321,6.230149016071875,-28.71109961842714,-6.463341761382004
continuous,rastrigin_d5,20,50,full,30,-5.1911962272126075,-5.819933229931753,4.056438414086249,-18.993347827428224,-1.001735236696419
continuous,rastrigin_d5,20,50,reduced,30,-12.23851055702917,-13.310359383074342,5.7772191848655705,-27.98305085081745,-6.311529500736853
continuous,rastrigin_d5,50,20,full,30,-5.580258665333908,-6.231130235014452,3.346561166285705,-18.995312472602578,-2.132879323572496
continuous,rastrigin_d5,50,20,reduced,30,-10.4013536297951,-10.619538365310673,3.749293552086697,-19.13656088211863,-4.463155277314044
continuous,rastrigin_d5,50,30,full,30,-4.659561663601149,-4.79112317697827,2.160020919150231,-9.990926000358854,-2.098858611377125
continuous,rastrigin_d5,50,30,reduced,30,-9.399391950693747,-9.612275437915372,3.6991933984721417,-19.06289028355036,-3.9593143221304885
continuous,rastrigin_d5,50,50,full,30,-3.1377097479121225,-3.568356572663778,2.1776613976129156,-8.065953956111258,-0.016138813538262298
continuous,rastrigin_d5,50,50,reduced,30,-8.350224176636633,-8.683129993693388,3.5653772804776893,-18.33106358976317,-2.3429809232263423
continuous,rastrigin_d10,20,20,full,30,-41.60459466915093,-43.85522561257197,15.143839280518732,-101.50248121636392,-21.514181962454714
continuous,rastrigin_d10,20,20,reduced,30,-73.74956398402162,-73.16101231951828,11.871290738262962,-96.49508072160812,-52.111132558606364
continuous,rastrigin_d10,20,30,full,30,-32.163334877540514,-34.67582699976217,13.22179864541407,-79.85641923135003,-17.799705436656296
continuous,rastrigin_d10,20,30,reduced,30,-68.54298559439621,-66.63013763174644,12.223114972910384,-88.67278652761732,-43.30131036723017
continuous,rastrigin_d10,20,50,full,30,-22.780161557376445,-25.590847486443216,10.70352802476465,-52.07827333995113,-9.609364887908725
continuous,rastrigin_d10,20,50,reduced,30,-55.638754275895636,-56.55552999115346,12.93625446547676,-85.0793533749361,-33.101218164820395
continuous,rastrigin_d10,50,20,full,30,-20.490429533621104,-21.41607629573546,5.283031674865963,-35.8774495093449,-10.819358786003079
continuous,rastrigin_d10,50,20,reduced,30,-51.71752107440808,-53.06142065731898,11.081316312794295,-74.17398136566631,-33.8354802532118
continuous,rastrigin_d10,50,30,full,30,-15.598089974407976,-16.316833464808834,5.877006104082404,-35.28869495386168,-7.014587635742842
continuous,rastrigin_d10,50,30,reduced,30,-46.866359311855206,-49.68767597454805,10.760131799558394,-69.64461580925939,-33.55644449648729
continuous,rastrigin_d10,50,50,full,30,-11.148655479531698,-11.377973590004816,4.640837149577661,-28.792628743190065,-5.97804602015637
continuous,rastrigin_d10,50,50,reduced,30,-44.3655356723693,-45.29064492034665,11.24250240571891,-67.36360625262708,-28.729876556949208
continuous,rosenbrock_d5,20,20,full,30,-4.505822480135248,-5.202710033236921,4.595682469832461,-27.84288224281177,-1.817788583728724
continuous,rosenbrock_d5,20,20,reduced,30,-8.111051665012972,-9.435185802230984,3.8645300714399835,-20.391332171113312,-4.656921744547135
continuous,rosenbrock_d5,20,30,full,30,-3.7184887975676517,-3.5278096199969062,1.1826405233497357,-5.96388827203474,-0.19154476047519137
continuous,rosenbrock_d5,20,30,reduced,30,-7.100381620063284,-7.504606492963231,3.068363636951131,-17.029326241751942,-2.2695518920816524
continuous,rosenbrock_d5,20,50,full,30,-3.211483106941049,-3.1191634566665822,1.1245328513268211,-4.706757091355009,-0.09403246439193218
continuous,rosenbrock_d5,20,50,reduced,30,-5.4796699108617375,-5.428224942901477,1.773381007766468,-9.444865566537256,-1.8999164356204072
continuous,rosenbrock_d5,50,20,full,30,-3.1232523094918925,-3.032884649916928,0.9439842159278561,-4.578703492917629,-0.42749953606039415
continuous,rosenbrock_d5,50,20,reduced,30,-6.630459880925268,-6.716434881406086,2.2831938434520826,-12.156627325381583,-0.6546611448261206
continuous,rosenbrock_d5,50,30,full,30,-3.016739728765891,-2.950457084355766,0.9389870007538516,-4.576505749304302,-0.424677896069538
continuous,rosenbrock_d5,50,30,reduced,30,-5.581380172606389,-5.1338655988135375,2.154641411458647,-9.868612884831435,-0.6546611448261206
continuous,rosenbrock_d5,50,50,full,30,-2.99606207242073,-2.831491916012298,0.9240458530849441,-4.486029123084053,-0.41202819921012385
continuous,rosenbrock_d5,50,50,reduced,30,-4.433413329345026,-4.121759873572058,2.0904037824509594,-9.86547790825839,-0.5954801017827785
continuous,rosenbrock_d10,20,20,full,30,-32.78311096292617,-41.60379753091607,32.04477660832759,-143.38411119685398,-9.467497229655004
continuous,rosenbrock_d10,20,20,reduced,30,-100.00785606286375,-101.11893749483154,37.84386737261276,-183.97343373628212,-49.18168896866941
continuous,rosenbrock_d10,20,30,full,30,-20.00728954788198,-29.0439428331059,26.370499026079393,-113.12110160414387,-8.21083099271075
continuous,rosenbrock_d10,20,30,reduced,30,-78.44074465359247,-78.83404156428334,27.16011729719389,-166.15098752908204,-40.9128369444361
continuous,rosenbrock_d10,20,50,full,30,-10.233550023512711,-17.262579377741712,18.293203887816446,-84.27131799318606,-6.730910255748438
continuous,rosenbrock_d10,20,50,reduced,30,-51.41340558611284,-56.00905492316891,22.921519037648462,-131.23439222269243,-16.918765093231666
continuous,rosenbrock_d10,50,20,full,30,-14.219834683436776,-17.205818663224168,11.07188793054798,-57.53322035518376,-8.324206587405262
continuous,rosenbrock_d10,50,20,reduced,30,-67.88899686532042,-77.67894611525395,23.215979215299203,-133.07746500409732,-41.99480183881408
continuous,rosenbrock_d10,50,30,full,30,-10.793744122817795,-13.343445656628708,10.47264643028068,-54.820763259042984,-7.039125620530617
continuous,rosenbrock_d10,50,30,reduced,30,-53.71607228497671,-58.38936591411503,19.964729533110155,-122.97161196734585,-31.266781114966733
continuous,rosenbrock_d10,50,50,full,30,-8.84952140492498,-10.588845148114613,8.359120296943594,-51.82613233301745,-6.626017998673732
continuous,rosenbrock_d10,50,50,reduced,30,-41.65418280211331,-45.08281350252446,18.519231173368826,-93.86300230833245,-20.635953983459665
