problem,instance_id,population_size,generations,operator_id,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
knapsack,n20_weakly,20,30,singlepoint,30,5198.5,5202.1,76.26150563278509,5054.0,5409.0
knapsack,n20_weakly,20,30,uniform,30,5319.5,5298.8,124.30035925267805,4959.0,5510.0
knapsack,n20_weakly,20,30,bitflip,30,5392.0,5397.533333333334,64.81418178855257,5269.0,5540.0
knapsack,n20_weakly,20,30,swapbit,30,5457.0,5453.633333333333,65.42934242810875,5293.0,5572.0
knapsack,n20_weakly,20,50,singlepoint,30,5198.5,5202.1,76.26150563278509,5054.0,5409.0
knapsack,n20_weakly,20,50,uniform,30,5319.5,5298.8,124.30035925267805,4959.0,5510.0
knapsack,n20_weakly,20,50,bitflip,30,5441.5,5442.6,61.54762663846256,5269.0,5546.0
knapsack,n20_weakly,20,50,swapbit,30,5496.0,5480.466666666666,58.50124274149098,5352.0,5572.0
knapsack,n20_weakly,50,20,singlepoint,30,5380.5,5367.3,85.05703968514305,5139.0,5510.0
knapsack,n20_weakly,50,20,uniform,30,5439.5,5443.166666666667,79.16289767192768,5287.0,5607.0
knapsack,n20_weakly,50,20,bitflip,30,5462.5,5462.6,63.833079738999885,5327.0,5607.0
knapsack,n20_weakly,50,20,swapbit,30,5513.0,5502.4,62.2562003559374,5359.0,5607.0
knapsack,n20_weakly,50,30,singlepoint,30,5380.5,5367.3,85.05703968514305,5139.0,5510.0
knapsack,n20_weakly,50,30,uniform,30,5447.0,5444.9,79.41091299971482,5287.0,5607.0
knapsack,n20_weakly,50,30,bitflip,30,5515.0,5508.133333333333,54.11465053290883,5414.0,5607.0
knapsack,n20_weakly,50,30,swapbit,30,5524.0,5516.9,57.821574544097466,5359.0,5607.0
knapsack,n20_weakly,50,50,singlepoint,30,5380.5,5367.3,85.05703968514305,5139.0,5510.0
knapsack,n20_weakly,50,50,uniform,30,5447.0,5444.9,79.41091299971482,5287.0,5607.0
knapsack,n20_weakly,50,50,bitflip,30,5535.5,5527.633333333333,55.85849321605279,5414.0,5607.0
knapsack,n20_weakly,50,50,swapbit,30,5528.0,5533.533333333334,47.611019684546754,5445.0,5607.0
knapsack,n20_strongly,20,20,singlepoint,30,5344.0,5351.0,178.09993320295365,4815.0,5658.0
knapsack,n20_strongly,20,20,uniform,30,5492.0,5472.366666666667,125.0923750627934,5225.0,5660.0
knapsack,n20_strongly,20,20,bitflip,30,5465.5,5500.066666666667,107.78968453406857,5323.0,5663.0
knapsack,n20_strongly,20,20,swapbit,30,5366.0,5390.433333333333,101.01337683124238,5257.0,5664.0
knapsack,n20_strongly,20,30,singlepoint,30,5344.0,5351.0,178.09993320295365,4815.0,5658.0
knapsack,n20_strongly,20,30,uniform,30,5492.0,5472.366666666667,125.0923750627934,5225.0,5660.0
knapsack,n20_strongly,20,30,bitflip,30,5543.5,5557.1,100.60450048204295,5323.0,5732.0
